Japanisch;Deutsch;Kanji
あります;(da) sein, existieren, es gibt ~, sich befinden (Gegenstände und Dinge, die sich nicht bewegen);
います;(da) sein, existieren, es gibt ~, sich befinden (Lebewesen, die sich bewegen);
いろい[な];verschiedene;

おとこのひと;Mann;男の人
あんなのひと;Frau;女の人
おとこのこ;Junge;男の子
おんなのこ;Mädchen;女の子

いぬ;Hund;犬
ねこ;Katze;猫
パンダ;Panda;
ぞう;Elefant;象
き;Baum;木

もの;Ding, Gegenstand;
でんち;Batterie;
はこ;Schachtel, Kasten, Kiste;

スイッチ;Schalter;
れいぞうこ;Kühlschrank;
テーブル;(Ess-)Tisch;
ベッド;Bett;
たな;Regal;
ドア;Tür;
もど;Fenster;

ポスト;Briefkasten;
ビル;Gebäude;
ＡＴＭ;Geldautomat;
コンビニ;Convenience Store;
こうえん;Park;
きっさてん;Cafe;
~や;~ geschäft, ~ laden;
のりば;Halteplazt (Taxi, Zug etc.);
けん;Präfektur;

うえ;oben, über, auf;
した;unten, unter;
まえ;vor, vorne;
うしろ;hinter, hinten;
みぎ;rechts;
ひだり;links;
なか;innen;
そと;außen;
となり;neben;
さかく;in der Nähe, nahe bei;
あいだ;zwischen;

~や~「など」;~, ~ (usw);

「どうも」すみません。;Vielen Dank!;
ナンプラオー;Nam pla;
コーナー;Ecke;
いらばん　した;ganz unten;
